workerid,proliferate.condition,chance,id,error
34,Main,77,18,
34,Main,77,35,
34,Main,76,6,
34,Main,77,42,
34,Main,21,39,
34,Main,75,7,
34,Main,75,26,
34,Main,76,22,
34,Main,8,47,
34,Main,4,52,
34,Main,72,1,
34,Main,76,25,
34,Main,75,9,
34,Main,72,50,
34,Main,74,32,
34,Main,82,11,
34,Main,79,37,
34,Main,0,34,
34,Main,82,15,
34,Main,76,14,
34,Main,81,12,
34,Main,77,45,
34,Main,77,46,
34,Main,3,8,
34,Main,100,48,
34,Main,94,38,
34,Main,82,36,
34,Main,75,23,
34,Main,80,33,
34,Main,0,51,
34,Main,78,16,
34,Main,70,19,
34,Main,74,28,
34,Main,0,53,
34,Main,76,29,
34,Main,73,30,
34,Main,75,4,
34,Main,0,2,
34,Main,75,44,
34,Main,100,49,
34,Main,79,24,
34,Main,77,21,
34,Main,69,27,
34,Main,76,41,
34,Main,75,20,
34,Main,76,10,
34,Main,76,5,
34,Main,77,43,
34,Main,77,3,
34,Main,74,17,
34,Main,74,13,
34,Main,76,40,
34,Main,75,31,
28,Main,5,8,
28,Main,97,35,
28,Main,68,4,
28,Main,98,46,
28,Main,88,14,
28,Main,100,19,
28,Main,92,13,
28,Main,65,52,
28,Main,50,47,
28,Main,77,5,
28,Main,52,45,
28,Main,91,20,
28,Main,96,15,
28,Main,87,41,
28,Main,40,11,
28,Main,50,44,
28,Main,0,53,
28,Main,49,2,
28,Main,75,48,
28,Main,50,6,
28,Main,16,26,
28,Main,100,18,
28,Main,100,7,
28,Main,57,3,
28,Main,23,23,
28,Main,21,34,
28,Main,100,24,
28,Main,0,32,
28,Main,89,38,
28,Main,50,50,
28,Main,50,29,
28,Main,0,16,
28,Main,92,31,
28,Main,92,33,
28,Main,96,1,
28,Main,50,36,
28,Main,50,40,
28,Main,7,12,
28,Main,51,21,
28,Main,92,37,
28,Main,52,43,
28,Main,22,17,
28,Main,81,30,
28,Main,52,42,
28,Main,8,27,
28,Main,12,49,
28,Main,0,10,
28,Main,83,28,
28,Main,0,51,
28,Main,96,39,
28,Main,89,9,
28,Main,20,22,
28,Main,0,25,
53,Main,51,3,
53,Main,96,35,
53,Main,52,28,
53,Main,80,36,
53,Main,79,21,
53,Main,55,10,
53,Main,56,7,
53,Main,59,6,
53,Main,22,27,
53,Main,100,50,
53,Main,60,41,
53,Main,57,31,
53,Main,81,46,
53,Main,58,24,
53,Main,40,44,
53,Main,57,32,
53,Main,54,14,
53,Main,54,34,
53,Main,73,18,
53,Main,0,4,
53,Main,76,19,
53,Main,60,42,
53,Main,93,30,
53,Main,0,52,
53,Main,53,15,
53,Main,53,8,
53,Main,52,13,
53,Main,54,5,
53,Main,92,22,
53,Main,60,45,
53,Main,100,49,
53,Main,0,53,
53,Main,70,23,
53,Main,61,33,
53,Main,65,20,
53,Main,84,40,
53,Main,81,12,
53,Main,100,38,
53,Main,33,25,
53,Main,51,26,
53,Main,0,51,
53,Main,56,43,
53,Main,69,17,
53,Main,71,16,
53,Main,44,1,
53,Main,0,2,
53,Main,29,39,
53,Main,0,29,
53,Main,77,11,
53,Main,54,9,
53,Main,55,37,
53,Main,100,48,
53,Main,45,47,
47,Main,0,52,
47,Main,57,35,
47,Main,100,44,
47,Main,68,43,
47,Main,83,45,
47,Main,62,17,
47,Main,38,39,
47,Main,63,31,
47,Main,70,33,
47,Main,9,2,
47,Main,68,8,
47,Main,69,46,
47,Main,76,5,
47,Main,86,49,
47,Main,41,47,
47,Main,68,38,
47,Main,100,48,
47,Main,100,50,
47,Main,80,16,
47,Main,67,15,
47,Main,83,26,
47,Main,70,37,
47,Main,74,22,
47,Main,0,51,
47,Main,8,34,
47,Main,36,20,
47,Main,69,30,
47,Main,36,36,
47,Main,55,18,
47,Main,58,14,
47,Main,16,25,
47,Main,62,10,
47,Main,12,29,
47,Main,32,19,
47,Main,22,1,
47,Main,0,53,
47,Main,72,24,
47,Main,1,4,
47,Main,69,3,
47,Main,62,23,
47,Main,67,28,
47,Main,68,7,
47,Main,70,11,
47,Main,0,27,
47,Main,12,13,
47,Main,23,6,
47,Main,8,32,
47,Main,78,40,
47,Main,70,12,
47,Main,71,42,
47,Main,78,9,
47,Main,76,41,
47,Main,31,21,
25,Main,81,18,
25,Main,91,43,
25,Main,62,44,
25,Main,84,42,
25,Main,17,3,
25,Main,88,46,
25,Main,64,47,
25,Main,92,17,
25,Main,78,23,
25,Main,100,31,
25,Main,89,37,
25,Main,50,11,
25,Main,84,40,
25,Main,17,27,
25,Main,50,33,
25,Main,50,49,
25,Main,89,5,
25,Main,23,38,
25,Main,13,9,
25,Main,50,13,
25,Main,59,20,
25,Main,22,6,
25,Main,90,48,
25,Main,85,14,
25,Main,0,53,
25,Main,20,32,
25,Main,62,34,
25,Main,83,16,
25,Main,9,4,
25,Main,92,50,
25,Main,25,25,
25,Main,50,12,
25,Main,11,30,
25,Main,19,26,
25,Main,91,22,
25,Main,63,28,
25,Main,62,24,
25,Main,53,52,
25,Main,29,35,
25,Main,85,15,
25,Main,23,41,
25,Main,0,29,
25,Main,0,2,
25,Main,27,45,
25,Main,67,7,
25,Main,83,1,
25,Main,50,21,
25,Main,11,8,
25,Main,8,51,
25,Main,59,10,
25,Main,18,19,
25,Main,22,36,
25,Main,7,39,
27,Main,77,24,
27,Main,99,42,
27,Main,51,31,
27,Main,98,30,
27,Main,100,45,
27,Main,100,9,
27,Main,19,4,
27,Main,4,29,
27,Main,79,7,
27,Main,65,43,
27,Main,18,21,
27,Main,98,33,
27,Main,87,50,
27,Main,76,38,
27,Main,88,44,
27,Main,99,28,
27,Main,49,36,
27,Main,40,8,
27,Main,15,1,
27,Main,77,19,
27,Main,16,13,
27,Main,13,48,
27,Main,17,16,
27,Main,50,32,
27,Main,89,22,
27,Main,98,40,
27,Main,50,20,
27,Main,25,27,
27,Main,14,26,
27,Main,19,5,
27,Main,93,12,
27,Main,0,53,
27,Main,50,35,
27,Main,87,49,
27,Main,0,47,
27,Main,87,37,
27,Main,81,15,
27,Main,93,18,
27,Main,12,41,
27,Main,66,39,
27,Main,99,25,
27,Main,99,46,
27,Main,74,10,
27,Main,19,52,
27,Main,11,34,
27,Main,5,6,
27,Main,94,17,
27,Main,38,2,
27,Main,7,23,
27,Main,37,3,
27,Main,50,51,
27,Main,82,11,
27,Main,99,14,
57,Main,66,44,
57,Main,100,23,
57,Main,100,21,
57,Main,55,22,
57,Main,100,9,
57,Main,100,2,
57,Main,100,20,
57,Main,100,43,
57,Main,72,36,
57,Main,0,8,
57,Main,61,5,
57,Main,69,37,
57,Main,59,15,
57,Main,67,28,
57,Main,67,14,
57,Main,72,3,
57,Main,66,47,
57,Main,68,11,
57,Main,0,53,
57,Main,98,46,
57,Main,65,27,
57,Main,100,26,
57,Main,60,32,
57,Main,66,1,
57,Main,100,38,
57,Main,72,31,
57,Main,72,40,
57,Main,70,24,
57,Main,75,12,
57,Main,78,42,
57,Main,50,19,
57,Main,100,33,
57,Main,72,39,
57,Main,68,45,
57,Main,87,30,
57,Main,0,51,
57,Main,64,10,
57,Main,66,41,
57,Main,60,4,
57,Main,9,52,
57,Main,75,18,
57,Main,6,25,
57,Main,100,49,
57,Main,80,6,
57,Main,74,34,
57,Main,100,50,
57,Main,75,17,
57,Main,100,48,
57,Main,81,7,
57,Main,74,35,
57,Main,70,29,
57,Main,72,16,
57,Main,100,13,
36,Main,50,21,
36,Main,50,15,
36,Main,0,51,
36,Main,100,50,
36,Main,50,9,
36,Main,50,6,
36,Main,50,34,
36,Main,50,8,
36,Main,50,33,
36,Main,50,17,
36,Main,50,30,
36,Main,50,20,
36,Main,50,3,
36,Main,50,27,
36,Main,50,40,
36,Main,50,39,
36,Main,0,52,
36,Main,50,13,
36,Main,50,24,
36,Main,50,10,
36,Main,50,1,
36,Main,50,35,
36,Main,50,14,
36,Main,50,32,
36,Main,50,41,
36,Main,50,22,
36,Main,50,45,
36,Main,100,49,
36,Main,50,44,
36,Main,50,23,
36,Main,0,4,
36,Main,50,11,
36,Main,50,46,
36,Main,50,31,
36,Main,50,43,
36,Main,50,7,
36,Main,50,26,
36,Main,50,19,
36,Main,0,29,
36,Main,50,16,
36,Main,100,48,
36,Main,0,53,
36,Main,50,5,
36,Main,50,12,
36,Main,50,38,
36,Main,50,18,
36,Main,50,42,
36,Main,50,47,
36,Main,50,28,
36,Main,50,36,
36,Main,50,2,
36,Main,50,37,
36,Main,50,25,
61,Main,92,6,
61,Main,73,44,
61,Main,100,20,
61,Main,83,16,
61,Main,49,30,
61,Main,63,15,
61,Main,100,43,
61,Main,100,39,
61,Main,60,31,
61,Main,30,28,
61,Main,63,50,
61,Main,32,5,
61,Main,61,1,
61,Main,100,49,
61,Main,99,40,
61,Main,44,12,
61,Main,71,7,
61,Main,38,19,
61,Main,87,35,
61,Main,56,3,
61,Main,100,14,
61,Main,0,53,
61,Main,98,38,
61,Main,96,13,
61,Main,94,17,
61,Main,90,32,
61,Main,0,52,
61,Main,100,46,
61,Main,38,26,
61,Main,67,21,
61,Main,80,23,
61,Main,23,42,
61,Main,76,11,
61,Main,69,33,
61,Main,30,34,
61,Main,91,27,
61,Main,11,2,
61,Main,93,24,
61,Main,88,36,
61,Main,100,47,
61,Main,100,48,
61,Main,51,18,
61,Main,100,45,
61,Main,96,37,
61,Main,100,41,
61,Main,45,4,
61,Main,0,8,
61,Main,78,10,
61,Main,85,22,
61,Main,2,29,
61,Main,0,51,
61,Main,100,9,
61,Main,73,25,
23,Main,84,11,
23,Main,0,52,
23,Main,42,41,
23,Main,51,10,
23,Main,100,30,
23,Main,100,22,
23,Main,100,46,
23,Main,50,43,
23,Main,89,12,
23,Main,29,33,
23,Main,100,50,
23,Main,82,42,
23,Main,63,24,
23,Main,13,4,
23,Main,100,49,
23,Main,50,40,
23,Main,31,32,
23,Main,31,28,
23,Main,64,39,
23,Main,50,7,
23,Main,76,35,
23,Main,0,51,
23,Main,65,44,
23,Main,100,20,
23,Main,49,27,
23,Main,80,37,
23,Main,31,34,
23,Main,87,15,
23,Main,75,17,
23,Main,50,19,
23,Main,42,1,
23,Main,100,21,
23,Main,89,16,
23,Main,75,9,
23,Main,30,2,
23,Main,10,25,
23,Main,13,6,
23,Main,87,26,
23,Main,83,3,
23,Main,98,5,
23,Main,90,29,
23,Main,0,53,
23,Main,74,14,
23,Main,19,23,
23,Main,88,38,
23,Main,92,13,
23,Main,10,8,
23,Main,67,45,
23,Main,91,18,
23,Main,17,47,
23,Main,83,31,
23,Main,100,48,
23,Main,23,36,
52,Main,50,25,
52,Main,50,21,
52,Main,77,11,
52,Main,50,37,
52,Main,100,9,
52,Main,50,40,
52,Main,24,47,
52,Main,50,29,
52,Main,50,16,
52,Main,78,43,
52,Main,100,50,
52,Main,78,2,
52,Main,50,42,
52,Main,100,22,
52,Main,50,36,
52,Main,100,41,
52,Main,100,10,
52,Main,100,33,
52,Main,100,23,
52,Main,0,53,
52,Main,100,46,
52,Main,100,48,
52,Main,50,4,
52,Main,100,1,
52,Main,100,17,
52,Main,24,27,
52,Main,77,15,
52,Main,100,6,
52,Main,50,39,
52,Main,100,38,
52,Main,100,49,
52,Main,0,51,
52,Main,100,12,
52,Main,100,7,
52,Main,100,26,
52,Main,50,34,
52,Main,100,19,
52,Main,100,14,
52,Main,0,31,
52,Main,0,52,
52,Main,100,44,
52,Main,100,45,
52,Main,100,18,
52,Main,50,13,
52,Main,100,5,
52,Main,50,32,
52,Main,0,8,
52,Main,100,3,
52,Main,100,20,
52,Main,76,35,
52,Main,77,30,
52,Main,100,24,
52,Main,100,28,
39,Main,50,29,
39,Main,0,30,
39,Main,0,21,
39,Main,100,9,
39,Main,50,20,
39,Main,50,52,
39,Main,0,41,
39,Main,100,27,
39,Main,50,42,
39,Main,50,36,
39,Main,50,23,
39,Main,50,43,
39,Main,0,12,
39,Main,100,11,
39,Main,100,6,
39,Main,50,7,
39,Main,100,31,
39,Main,50,5,
39,Main,100,16,
39,Main,49,47,
39,Main,50,13,
39,Main,50,51,
39,Main,54,24,
39,Main,86,15,
39,Main,50,14,
39,Main,50,45,
39,Main,0,19,
39,Main,100,28,
39,Main,0,3,
39,Main,50,10,
39,Main,0,1,
39,Main,89,50,
39,Main,51,40,
39,Main,0,39,
39,Main,50,25,
39,Main,50,4,
39,Main,50,38,
39,Main,100,8,
39,Main,50,49,
39,Main,50,18,
39,Main,100,53,
39,Main,50,46,
39,Main,50,37,
39,Main,12,26,
39,Main,100,22,
39,Main,50,48,
39,Main,50,33,
39,Main,50,35,
39,Main,50,2,
39,Main,50,32,
39,Main,100,17,
39,Main,100,34,
39,Main,50,44,
31,Main,100,5,
31,Main,20,31,
31,Main,100,21,
31,Main,100,23,
31,Main,100,49,
31,Main,0,53,
31,Main,89,16,
31,Main,93,41,
31,Main,92,17,
31,Main,80,25,
31,Main,94,9,
31,Main,97,37,
31,Main,92,30,
31,Main,86,36,
31,Main,100,43,
31,Main,87,28,
31,Main,85,45,
31,Main,88,39,
31,Main,96,6,
31,Main,100,7,
31,Main,94,29,
31,Main,86,38,
31,Main,100,13,
31,Main,100,1,
31,Main,84,14,
31,Main,100,33,
31,Main,89,27,
31,Main,100,24,
31,Main,91,32,
31,Main,100,46,
31,Main,100,2,
31,Main,97,47,
31,Main,87,35,
31,Main,81,15,
31,Main,100,26,
31,Main,100,48,
31,Main,0,8,
31,Main,93,4,
31,Main,100,22,
31,Main,93,42,
31,Main,91,11,
31,Main,100,40,
31,Main,94,12,
31,Main,65,44,
31,Main,90,20,
31,Main,100,3,
31,Main,0,51,
31,Main,82,18,
31,Main,91,19,
31,Main,92,10,
31,Main,100,50,
31,Main,79,34,
31,Main,11,52,
49,Main,50,13,
49,Main,50,20,
49,Main,100,26,
49,Main,50,11,
49,Main,100,1,
49,Main,100,48,
49,Main,100,21,
49,Main,99,41,
49,Main,100,7,
49,Main,100,6,
49,Main,51,45,
49,Main,78,35,
49,Main,100,49,
49,Main,74,34,
49,Main,77,8,
49,Main,72,40,
49,Main,72,30,
49,Main,0,52,
49,Main,74,47,
49,Main,69,2,
49,Main,65,44,
49,Main,69,24,
49,Main,65,22,
49,Main,62,46,
49,Main,63,29,
49,Main,65,27,
49,Main,0,53,
49,Main,66,18,
49,Main,63,36,
49,Main,63,5,
49,Main,66,12,
49,Main,70,43,
49,Main,65,3,
49,Main,69,33,
49,Main,71,37,
49,Main,0,51,
49,Main,63,25,
49,Main,62,19,
49,Main,75,28,
49,Main,68,9,
49,Main,67,17,
49,Main,67,23,
49,Main,67,4,
49,Main,65,16,
49,Main,72,14,
49,Main,68,42,
49,Main,67,32,
49,Main,67,10,
49,Main,76,38,
49,Main,67,39,
49,Main,70,15,
49,Main,76,31,
49,Main,77,50,
56,Main,100,45,
56,Main,83,28,
56,Main,100,13,
56,Main,97,15,
56,Main,1,52,
56,Main,100,3,
56,Main,100,2,
56,Main,100,36,
56,Main,100,10,
56,Main,100,5,
56,Main,100,23,
56,Main,100,19,
56,Main,100,16,
56,Main,100,6,
56,Main,100,29,
56,Main,100,50,
56,Main,72,44,
56,Main,100,17,
56,Main,97,8,
56,Main,92,46,
56,Main,96,26,
56,Main,77,21,
56,Main,2,4,
56,Main,13,27,
56,Main,0,51,
56,Main,100,42,
56,Main,91,12,
56,Main,6,32,
56,Main,0,53,
56,Main,100,25,
56,Main,100,43,
56,Main,100,38,
56,Main,85,18,
56,Main,100,14,
56,Main,74,11,
56,Main,100,41,
56,Main,100,1,
56,Main,96,30,
56,Main,100,48,
56,Main,92,33,
56,Main,100,7,
56,Main,89,47,
56,Main,4,34,
56,Main,98,20,
56,Main,100,24,
56,Main,92,22,
56,Main,96,31,
56,Main,99,37,
56,Main,1,49,
56,Main,88,40,
56,Main,96,9,
56,Main,98,39,
56,Main,97,35,
60,Main,77,33,
60,Main,66,15,
60,Main,78,24,
60,Main,89,9,
60,Main,100,11,
60,Main,65,28,
60,Main,100,46,
60,Main,51,30,
60,Main,100,50,
60,Main,52,27,
60,Main,66,41,
60,Main,54,17,
60,Main,45,25,
60,Main,0,51,
60,Main,100,23,
60,Main,64,38,
60,Main,100,26,
60,Main,100,20,
60,Main,100,48,
60,Main,74,31,
60,Main,90,37,
60,Main,100,22,
60,Main,48,10,
60,Main,100,49,
60,Main,73,7,
60,Main,100,45,
60,Main,100,14,
60,Main,52,2,
60,Main,100,3,
60,Main,83,12,
60,Main,100,5,
60,Main,88,42,
60,Main,64,16,
60,Main,0,52,
60,Main,52,36,
60,Main,0,53,
60,Main,100,21,
60,Main,100,29,
60,Main,65,19,
60,Main,40,6,
60,Main,79,4,
60,Main,0,8,
60,Main,42,44,
60,Main,38,32,
60,Main,20,13,
60,Main,89,1,
60,Main,30,47,
60,Main,19,39,
60,Main,26,34,
60,Main,57,18,
60,Main,67,35,
60,Main,100,43,
60,Main,100,40,
43,Main,0,13,
43,Main,83,22,
43,Main,85,23,
43,Main,100,50,
43,Main,77,15,
43,Main,78,24,
43,Main,67,11,
43,Main,100,12,
43,Main,48,35,
43,Main,86,46,
43,Main,23,26,
43,Main,0,53,
43,Main,100,33,
43,Main,10,10,
43,Main,10,42,
43,Main,63,39,
43,Main,74,31,
43,Main,56,3,
43,Main,57,5,
43,Main,63,25,
43,Main,17,18,
43,Main,19,28,
43,Main,12,1,
43,Main,56,41,
43,Main,17,27,
43,Main,23,37,
43,Main,39,2,
43,Main,75,38,
43,Main,19,6,
43,Main,53,32,
43,Main,64,7,
43,Main,34,47,
43,Main,0,52,
43,Main,66,29,
43,Main,62,17,
43,Main,0,8,
43,Main,17,20,
43,Main,51,19,
43,Main,50,45,
43,Main,0,48,
43,Main,54,4,
43,Main,57,44,
43,Main,65,40,
43,Main,73,51,
43,Main,81,14,
43,Main,16,21,
43,Main,59,16,
43,Main,50,34,
43,Main,99,9,
43,Main,82,30,
43,Main,48,43,
43,Main,100,49,
43,Main,51,36,
38,Main,70,37,
38,Main,59,12,
38,Main,67,43,
38,Main,77,40,
38,Main,10,27,
38,Main,0,52,
38,Main,78,22,
38,Main,50,19,
38,Main,34,11,
38,Main,23,2,
38,Main,13,41,
38,Main,41,10,
38,Main,12,23,
38,Main,91,30,
38,Main,8,39,
38,Main,100,49,
38,Main,71,7,
38,Main,3,8,
38,Main,7,20,
38,Main,2,13,
38,Main,61,28,
38,Main,39,44,
38,Main,1,4,
38,Main,78,33,
38,Main,61,16,
38,Main,71,45,
38,Main,5,25,
38,Main,0,53,
38,Main,57,21,
38,Main,1,32,
38,Main,59,5,
38,Main,67,35,
38,Main,100,48,
38,Main,93,18,
38,Main,68,26,
38,Main,2,3,
38,Main,92,17,
38,Main,0,51,
38,Main,92,42,
38,Main,92,46,
38,Main,5,36,
38,Main,96,9,
38,Main,100,38,
38,Main,68,24,
38,Main,3,6,
38,Main,27,1,
38,Main,3,47,
38,Main,100,50,
38,Main,86,14,
38,Main,26,31,
38,Main,6,34,
38,Main,2,15,
38,Main,0,29,
58,Main,50,37,
58,Main,100,24,
58,Main,50,45,
58,Main,49,32,
58,Main,67,39,
58,Main,49,30,
58,Main,71,1,
58,Main,49,25,
58,Main,50,29,
58,Main,67,26,
58,Main,46,31,
58,Main,100,22,
58,Main,12,27,
58,Main,49,13,
58,Main,50,20,
58,Main,62,38,
58,Main,57,47,
58,Main,71,15,
58,Main,67,33,
58,Main,77,17,
58,Main,51,3,
58,Main,64,35,
58,Main,100,48,
58,Main,84,5,
58,Main,78,36,
58,Main,80,12,
58,Main,86,9,
58,Main,50,42,
58,Main,50,28,
58,Main,52,19,
58,Main,78,16,
58,Main,83,23,
58,Main,50,18,
58,Main,0,53,
58,Main,0,51,
58,Main,50,14,
58,Main,100,46,
58,Main,52,7,
58,Main,53,40,
58,Main,100,50,
58,Main,84,41,
58,Main,0,8,
58,Main,50,44,
58,Main,49,6,
58,Main,53,4,
58,Main,100,49,
58,Main,50,43,
58,Main,5,52,
58,Main,30,34,
58,Main,30,2,
58,Main,66,21,
58,Main,84,11,
58,Main,53,10,
24,Main,100,10,
24,Main,0,51,
24,Main,100,48,
24,Main,0,53,
24,Main,100,33,
24,Main,100,18,
24,Main,6,8,
24,Main,88,6,
24,Main,100,49,
24,Main,64,17,
24,Main,100,40,
24,Main,100,24,
24,Main,56,5,
24,Main,96,27,
24,Main,24,25,
24,Main,83,41,
24,Main,88,39,
24,Main,62,26,
24,Main,50,23,
24,Main,100,46,
24,Main,76,20,
24,Main,70,1,
24,Main,67,43,
24,Main,100,50,
24,Main,74,16,
24,Main,44,12,
24,Main,54,34,
24,Main,100,9,
24,Main,41,4,
24,Main,49,19,
24,Main,97,7,
24,Main,74,3,
24,Main,16,2,
24,Main,67,21,
24,Main,97,14,
24,Main,55,30,
24,Main,76,11,
24,Main,84,45,
24,Main,59,15,
24,Main,38,47,
24,Main,85,28,
24,Main,66,31,
24,Main,45,36,
24,Main,78,37,
24,Main,92,22,
24,Main,95,38,
24,Main,54,13,
24,Main,84,42,
24,Main,28,32,
24,Main,91,35,
24,Main,0,52,
